question_id,outcome,text
1,0,鎌倉の大仏
1,1,奈良の大仏
1,0,同じ大きさ
2,0,大仏殿を建てる予算がなかったから
2,0,遠くからでも参拝客が見えるようにするため
2,1,本堂が津波や台風で吹き飛ばされたから
3,1,阿弥陀大仏
3,0,釈迦大仏
3,0,どちらでもない
4,1,冷淡・無情・辛抱強い愛情
4,0,寛容
4,0,元気な女性・強い愛情
5,0,聖観音
5,1,十一面観音
5,0,千手観音
6,0,落とし穴が掘られていた
6,0,凸凹の段差があった
6,1,遠近法で参道が長く見えるようにした
7,1,平家池に縁起の悪いものを置き衰退を願ったため
7,0,平家一族の恨みを受けないようにするため
7,0,元は別の名前だったが後から平家池になった
8,0,龍
8,1,鳩
8,0,鬼
9,0,鳩が平和の象徴だから
9,1,鶴岡八幡宮の八幡神の使いが鳩だから
9,0,創業者が鳩を飼っていたから
10,0,真空パックしている
10,1,フィルムの右下をポイント止めしている
10,0,クッション性のある袋を使っている
11,1,竹の寺
11,0,終の寺
11,0,苔の寺
12,1,１位
12,0,３位
12,0,５位
13,0,しらす丼
13,1,けんちん汁
13,0,桜の花漬
14,0,「龍が悪事をせぬよう見張っている」という意味
14,1,「雷雲の如く仏法の教えを降り注ぐ」という意味
14,0,「龍の如く立派な存在になれ」という意味
15,0,こころ
15,1,門
15,0,明暗
16,0,釈迦の遺骨
16,1,釈迦の歯
16,0,釈迦の髪
17,0,花の大きさが通常のあじさいより大きい
17,1,色の変化を起こさない種類のあじさい
17,0,鮮やかな青色になるよう土壌を管理している
18,0,Aのみ
18,0,BとC
18,1,AとBとC
19,1,平地に墓所を造ることが禁じられていたから
19,0,海からの砂や風による劣化を防ぐため
19,0,削りやすい柔らかい土地だったため
20,0,狐稲荷
20,0,朱門稲荷
20,1,出世稲荷
21,1,稲の穂が狐の尻尾に似ているから
21,0,境内に狐がよく出たから
21,0,狐は神様の使いと思われていたから
22,0,人の頭と狐の体をしている
22,1,人の頭と蛇の体をしている
22,0,龍の頭と人の体をしている
23,1,離婚する代わりに一生を尼として過ごす
23,0,東慶寺に駆け込めば夫といえど手を出せない
23,0,閉門していてもかんざしや下駄を投げ入れれば駆け込んだのと同じ効果を得られる
24,0,200人
24,1,"2,000人"
24,0,"20,000人"
25,0,新鮮な魚を毎日届けてくれるようにお願いした
25,1,自分が死んだ後も縁切寺法が続くようにお願いした
25,0,東慶寺の敷地を広げるようにお願いした
26,0,現代の一般的なお墓の形の原型となった
26,0,地中の墓の殆どの部分が埋まっている
26,1,石を積み上げただけの簡素なお墓である
